transaction_id,amount,Status,Payment_Method
793,7808.15,Rejected,Mada
794,5435.78,Rejected,Apple Pay
795,4269.64,Accepted,Apple Pay
796,2424.79,Accepted,Credit Card
797,2384.18,Rejected,Credit Card
798,5331.26,Rejected,Mada
799,1371.89,Rejected,Apple Pay
800,3362.63,Accepted,Mada
801,4273.82,Rejected,Credit Card
802,3997.85,Accepted,Credit Card
803,2220.31,Rejected,Mada
804,4547.94,Rejected,Credit Card
805,1302.63,Rejected,Mada
806,7605.05,Accepted,STC Pay
807,6554.52,Accepted,Credit Card
808,7496.81,Rejected,Credit Card
809,3153.99,Rejected,Apple Pay
810,5239.64,Accepted,Credit Card
811,2515.13,Rejected,Apple Pay
812,1523.31,Accepted,STC Pay
813,643.69,Rejected,Apple Pay
814,308.9,Accepted,Mada
815,4059.88,Accepted,Credit Card
816,1319.46,Rejected,Mada
817,113.96,Rejected,Apple Pay
818,412.19,Rejected,Credit Card
819,2927.77,Rejected,Mada
820,4344.63,Accepted,Apple Pay
821,3353.43,Rejected,STC Pay
822,4343.86,Accepted,Apple Pay
823,6222.03,Rejected,Credit Card
824,3936.75,Rejected,STC Pay
825,1544.59,Rejected,Apple Pay
826,2484.15,Rejected,Credit Card
827,4248.08,Rejected,Apple Pay
828,4787.93,Accepted,Credit Card
829,5840.97,Rejected,Credit Card
830,3557.13,Rejected,Mada
831,7935.06,Accepted,STC Pay
832,5394.66,Rejected,Credit Card
833,830.59,Accepted,Mada
834,6366.91,Rejected,Apple Pay
835,6454.66,Accepted,Mada
836,6410.47,Rejected,Apple Pay
837,4229.01,Rejected,Mada
838,5867.73,Rejected,Apple Pay
839,4580.7,Rejected,Mada
840,4637.23,Accepted,STC Pay
841,1944.36,Accepted,STC Pay
842,4324.71,Accepted,Mada
843,4076.85,Accepted,STC Pay
844,7660.8,Accepted,STC Pay
845,7129.09,Accepted,STC Pay
846,1778.21,Accepted,STC Pay
847,585.94,Rejected,STC Pay
848,4502.4,Rejected,STC Pay
849,919.35,Rejected,Credit Card
850,6022.83,Rejected,Mada
851,4006.79,Accepted,STC Pay
852,7850.34,Accepted,Apple Pay
853,5087.7,Accepted,Mada
854,7385.91,Rejected,Apple Pay
855,4964.73,Rejected,Credit Card
856,3756.72,Accepted,Apple Pay
857,1975.07,Accepted,Credit Card
858,6782.85,Rejected,Apple Pay
859,7225.38,Rejected,Apple Pay
860,6130.67,Accepted,STC Pay
861,7703.59,Rejected,Credit Card
862,5662.69,Rejected,Mada
863,7884.97,Accepted,Credit Card
864,2534.34,Accepted,STC Pay
865,7532.42,Rejected,STC Pay
866,3385.89,Rejected,Credit Card
867,4622.63,Accepted,Mada
868,2750.12,Rejected,Mada
869,1402.22,Accepted,Mada
870,3617.85,Accepted,Mada
871,5080.49,Rejected,Apple Pay
872,2553.98,Rejected,Apple Pay
873,5761.86,Rejected,Apple Pay
874,7187.21,Rejected,STC Pay
875,833.18,Accepted,Mada
876,6278.64,Accepted,Apple Pay
877,7271.81,Rejected,STC Pay
878,3788.09,Accepted,Credit Card
879,2902.46,Rejected,Credit Card
880,6798.8,Accepted,Apple Pay
881,5134.24,Accepted,Apple Pay
882,4767.13,Accepted,Apple Pay
883,7591.08,Accepted,Apple Pay
884,6722.56,Rejected,Credit Card
885,1312.54,Accepted,Mada
886,251.78,Rejected,Apple Pay
887,2632.33,Rejected,Mada
888,5559.4,Rejected,STC Pay
889,6882.34,Accepted,STC Pay
890,780.36,Accepted,Mada
891,7672.29,Accepted,Mada
892,970.05,Rejected,Mada
893,1989.53,Accepted,Apple Pay
894,3448.49,Rejected,Credit Card
895,7379.78,Rejected,Credit Card
896,1548.63,Accepted,STC Pay
897,866.8,Accepted,Mada
898,6989.05,Rejected,STC Pay
899,3170.22,Accepted,Apple Pay
900,4144.66,Accepted,Mada
901,1682.48,Rejected,Credit Card
902,1921.68,Rejected,Apple Pay
903,2962.05,Accepted,Mada
904,2313.13,Rejected,Credit Card
905,2325.8,Rejected,Mada
906,7257.47,Rejected,Credit Card
907,6367.05,Accepted,Mada
908,4084.1,Rejected,STC Pay
909,6369.17,Accepted,Credit Card
910,3424.24,Accepted,Mada
911,3980.54,Accepted,Mada
912,6606.67,Accepted,Mada
913,3095.17,Accepted,STC Pay
914,4973.45,Accepted,Mada
915,4355.67,Accepted,STC Pay
916,1258.36,Accepted,Mada
917,6807.39,Rejected,Apple Pay
918,6212.9,Rejected,Mada
919,1964.48,Accepted,Mada
920,1497.06,Rejected,Credit Card
921,1768.96,Accepted,Mada
922,5776.67,Rejected,Mada
923,2851.93,Accepted,Mada
924,7800.77,Accepted,STC Pay
925,7662.84,Accepted,Credit Card
926,6322.83,Rejected,STC Pay
927,114.36,Rejected,STC Pay
928,764.34,Rejected,STC Pay
929,372.31,Rejected,STC Pay
930,6242.64,Accepted,Apple Pay
931,4143.94,Accepted,Apple Pay
932,3889.95,Accepted,Credit Card
933,4051.52,Rejected,Mada
934,5037.68,Rejected,Mada
935,2870.15,Rejected,STC Pay
936,1564.57,Accepted,Mada
937,2425.19,Accepted,Credit Card
938,1872.03,Rejected,STC Pay
939,1891.95,Rejected,Apple Pay
940,2703.7,Accepted,Mada
941,1094.82,Accepted,Apple Pay
942,6900.01,Accepted,Apple Pay
943,307.22,Rejected,Mada
944,1605.53,Rejected,Apple Pay
945,3413.16,Accepted,Apple Pay
946,898.36,Accepted,Credit Card
947,6760.79,Rejected,Apple Pay
948,873.61,Accepted,STC Pay
949,5667.07,Rejected,Mada
950,545.78,Rejected,Credit Card
951,5979.18,Accepted,Apple Pay
952,6070.72,Rejected,STC Pay
953,7279.24,Rejected,STC Pay
954,7840.44,Rejected,Mada
955,3570.1,Accepted,Apple Pay
956,924.71,Accepted,Credit Card
957,6519.21,Accepted,Mada
958,3787.39,Accepted,Mada
959,6222.89,Accepted,STC Pay
960,6926.61,Rejected,Credit Card
961,3161.69,Rejected,STC Pay
962,6939.11,Rejected,Mada
963,2099.29,Accepted,STC Pay
964,5229.06,Rejected,Mada
965,2238.08,Rejected,Credit Card
966,5629.31,Rejected,STC Pay
967,7949.7,Accepted,Apple Pay
968,2869.33,Accepted,Credit Card
969,4418.17,Rejected,Credit Card
970,6434.58,Accepted,Apple Pay
971,5865.28,Rejected,Apple Pay
972,2615.73,Rejected,Apple Pay
973,2497.08,Rejected,Apple Pay
974,1927.29,Rejected,Mada
975,5176.63,Rejected,Apple Pay
976,2216.85,Accepted,STC Pay
977,6743.92,Accepted,Credit Card
978,5120.3,Accepted,Mada
979,857.48,Accepted,Credit Card
980,4143.3,Accepted,STC Pay
981,5730.25,Rejected,Credit Card
982,1408.46,Rejected,STC Pay
983,281.43,Accepted,Mada
984,6944.91,Accepted,Mada
985,3573.27,Rejected,STC Pay
986,7790.86,Accepted,Apple Pay
987,2339.87,Accepted,Apple Pay
988,2992.17,Accepted,Credit Card
989,6468.58,Accepted,STC Pay
990,985.12,Accepted,Apple Pay
991,5769.89,Accepted,Mada
992,597.92,Rejected,Credit Card
993,1658.84,Accepted,Credit Card
994,414.53,Rejected,STC Pay
995,4946.08,Accepted,STC Pay
996,2936.88,Rejected,Credit Card
997,6386.56,Accepted,Credit Card
998,953.35,Accepted,Apple Pay
999,7035.89,Rejected,Credit Card
1000,4403.05,Rejected,Apple Pay
